id,player1_id,player2_id,winner_player_id,played_at,created_at,comment,player1_race,player2_race,is_ranked,game_type,mission_name,result_type,player1_roster_id,player2_roster_id,league_id
858,193,275,193,2026-04-22 15:10:31.743359,2026-04-22 19:10:33.776438,"[[match_meta:{""player1_score"":17,""player2_score"":7}]]",Протосс,Терран,f,2к,Frontlines,win,,,1
862,196,276,196,2026-04-22 23:01:51.222626,2026-04-23 03:01:53.54401,"[[match_meta:{""player1_score"":21,""player2_score"":18,""player1_roster_id"":""HOZHST"",""player2_roster_id"":""OUF0LX""}]]",Зерг,Протосс,t,2к,Gather the Resources,win,HOZHST,OUF0LX,1
863,188,271,188,2026-04-23 07:26:13.704304,2026-04-23 11:26:14.754008,"[[match_meta:{""player1_score"":24,""player2_score"":17,""player1_roster_id"":""KS5MAI"",""player2_roster_id"":""Z2VS16""}]]",Терран,Терран,t,2к,Divide & Conquer,win,VZ8G57,Z2VS16,1
864,188,266,188,2026-04-23 12:04:57.271159,2026-04-23 16:04:58.271482,"[[match_meta:{""player1_score"":18,""player2_score"":8}]]",Терран,Зерг,t,2к,Gather the Resources,win,,,1
865,192,196,192,2026-04-23 16:24:20.116971,2026-04-23 20:24:21.489072,"[[match_meta:{""player1_score"":28,""player2_score"":19}]]",Зерг,Зерг,t,2к,Hold Position,win,,,1
866,196,276,196,2026-04-23 23:31:01.919229,2026-04-24 03:31:03.296736,"[[match_meta:{""player1_score"":17,""player2_score"":7,""player1_roster_id"":""HOZHST"",""player2_roster_id"":""LU2HV2""}]]",Зерг,Протосс,t,2к,Divide and Conquer,win,HOZHST,LU2HV2,1
867,249,256,249,2026-04-24 01:32:58.938902,2026-04-24 05:33:00.126297,"[[match_meta:{""player1_score"":19,""player2_score"":12}]]",Зерг,Зерг,t,2к,Divide and Conquer,win,,,1
868,242,271,242,2026-04-24 06:20:42.412835,2026-04-24 10:20:43.2092,"[[match_meta:{""player1_score"":19,""player2_score"":5}]]",Протосс,Терран,t,2к,Divide & Conquer,win,,,1
869,196,240,196,2026-04-24 15:06:31.440021,2026-04-24 19:06:32.723977,"[[match_meta:{""player1_score"":16,""player2_score"":12,""player1_roster_id"":""KSS9NM""}]]",Зерг,Протосс,t,2к,Hold Position,win,KSS9NM,,1
870,196,261,196,2026-04-25 00:35:27.867398,2026-04-25 04:35:29.326349,"[[match_meta:{""player1_score"":23,""player2_score"":13,""player1_roster_id"":""KSS9NM""}]]",Зерг,Протосс,t,2к,Frontline,win,KSS9NM,,1
871,249,277,249,2026-04-25 02:43:44.627024,2026-04-25 06:43:46.511509,"[[match_meta:{""player1_score"":18,""player2_score"":14,""player1_roster_id"":""7ICE0I""}]]",Зерг,Терран,t,2к,Hold Position,win,7ICEOI,,1
872,277,196,277,2026-04-25 14:40:17.129684,2026-04-25 18:40:22.727992,"[[match_meta:{""player1_score"":23,""player2_score"":11}]]",Терран,Зерг,t,2к,Divide and Conquer,win,,,1
873,196,277,196,2026-04-25 21:42:46.661345,2026-04-26 01:42:48.023381,"[[match_meta:{""player1_score"":18,""player2_score"":13,""player1_roster_id"":""KSS9NM""}]]",Зерг,Терран,t,2к,Gather the Resources,win,KSS9NM,,1
879,242,214,242,2026-04-26 07:37:45.211429,2026-04-26 11:37:46.166848,"[[match_meta:{""player1_score"":17,""player2_score"":8,""player2_roster_id"":""LI1YBK""}]]",Протосс,Протосс,t,2к,Gather the Resources,win,,LI1YBK,1
884,192,249,192,2026-04-26 14:31:38.364213,2026-04-26 18:31:39.285802,"[[match_meta:{""player1_score"":16,""player2_score"":6}]]",Зерг,Зерг,t,2к,Hold Position,win,,,1
